,TARGETID,Redrock z,Redrock spectype,best z,best spectype,best flag,N_VI,all VI issue,all VI comments,merger comment,DELTACHI2,ZWARN,ZERR,FIBER,FLUX_G,FLUX_R,FLUX_Z,FIBERFLUX_G,FIBERFLUX_R,FIBERFLUX_Z,MW_TRANSMISSION_G,MW_TRANSMISSION_R,MW_TRANSMISSION_Z
0,3.51913E+16,0.3855,GALAXY,0.3855,GALAXY,4,3,--|--|--,--|--|--,none,651.9041155,0,5.87E-05,1252,2.533373,12.313652,27.995237,1.0099369,4.908875,11.160387,0.941849,0.96044695,0.9776793
1,3.51913E+16,0.1129,GALAXY,0.1129,GALAXY,4,3,--|--|--,--|--| LRG,none,2426.963718,0,2.24E-05,1407,12.787602,29.82173,50.96716,6.6752067,15.567125,26.605167,0.9293437,0.95183814,0.97276783
2,3.51913E+16,0.1528,GALAXY,0.1528,GALAXY,4,3,--|--|--,--|--| LRG,none,703.4131415,0,4.46E-05,716,6.8575053,20.285156,43.551285,2.718227,8.040775,17.263168,0.9396077,0.95890677,0.97680205
3,3.51913E+16,0.2511,GALAXY,0.2511,GALAXY,4,3,--|--|--,--|--|--,none,1747.092023,0,9.44E-06,725,4.336353,10.7758665,21.046743,1.6679673,4.1449103,8.095578,0.9422336,0.9607111,0.97782975
4,3.51913E+16,0.6679,GALAXY,0.6679,GALAXY,3.666666667,3,--|--|--,--|--| LRG,none,381.2420297,0,8.57E-05,712,1.2513453,7.5965495,31.25362,0.21530506,1.3070537,5.3774624,0.95108724,0.96678275,0.98128164
5,3.51913E+16,0.2359,GALAXY,0.2359,GALAXY,4,3,--|--|--,--|--|LRG,none,2067.750992,0,4.90E-05,948,9.928121,39.47692,81.43348,3.961147,15.750604,32.49054,0.9341824,0.9551737,0.9746731
6,3.51913E+16,0.2473,GALAXY,0.2473,GALAXY,4,3,--|--|--,--|--|--,none,6330.92273,0,3.76E-06,726,6.567591,11.253394,15.8145485,2.0204437,3.461977,4.8651633,0.94038475,0.9594409,0.97710633
7,3.51913E+16,0,STAR,0,STAR,4,3,--|--|--,--|--|--,none,43618.55658,0,1.50E-06,727,28.062273,96.44288,197.68524,21.844294,75.073265,153.88257,0.945204,0.96275026,0.9789901
8,3.51913E+16,0.5703,GALAXY,0.5703,GALAXY,4,3,--|--|--,--|--| Redrock redshift is wrong ***,none,613.8234949,0,3.62E-05,747,2.6788614,8.902278,21.676388,0.6552079,2.177359,5.3017077,0.93497556,0.9557198,0.9749848
9,3.51913E+16,0.1017,GALAXY,0.1017,GALAXY,4,3,--|--|--,--|--|--,none,2619.32316,0,4.99E-06,740,28.790604,48.735996,75.97902,3.8043532,6.439912,10.039769,0.93990964,0.9591144,0.9769203
